year,month,tmean
1977,7,27.05555556
1977,8,25.38888889
1977,9,22.77777778
1977,10,13.11111111
1977,11,10.16666667
1977,12,3.333333333
1978,1,-2.5
1978,2,-1.666666667
1978,3,7.388888889
1978,4,16.05555556
1978,5,18.94444444
1978,6,24
1978,7,26.44444444
1978,8,25.38888889
1978,9,22.94444444
1978,10,13.55555556
1978,11,11.55555556
1978,12,4.611111111
1979,1,-1.777777778
1979,2,0.944444444
1979,3,10.22222222
1979,4,15
1979,5,18.44444444
1979,6,22.88888889
1979,7,25.16666667
1979,8,24.44444444
1979,9,20.38888889
1979,10,15.11111111
1979,11,8.333333333
1979,12,4.888888889
1980,1,4.444444444
1980,2,1.833333333
1980,3,7.222222222
1980,4,13.61111111
1980,5,18.94444444
1980,6,23.72222222
1980,7,27.88888889
1980,8,27.44444444
1980,9,23.66666667
1980,10,13.27777778
1980,11,8.277777778
1980,12,4.388888889
1981,1,1
1981,2,4.888888889
1981,3,8.277777778
1981,4,17.94444444
1981,5,17.5
1981,6,24.88888889
1981,7,26.27777778
1981,8,24.22222222
1981,9,20.16666667
1981,10,14.61111111
1981,11,10.38888889
1981,12,3.444444444
1982,1,0.833333333
1982,2,3.833333333
1982,3,11.66666667
1982,4,12.72222222
1982,5,21.11111111
1982,6,22.44444444
1982,7,26.44444444
1982,8,24.44444444
1982,9,20.88888889
1982,10,15.38888889
1982,11,9.777777778
1982,12,8.111111111
1983,1,2.833333333
1983,2,5.722222222
1983,3,9.111111111
1983,4,11.83333333
1983,5,18.11111111
1983,6,22.72222222
1983,7,26.66666667
1983,8,27.38888889
1983,9,22.05555556
1983,10,16.5
1983,11,9.5
1983,12,0.055555556
1984,1,0.277777778
1984,2,6.777777778
1984,3,8.388888889
1984,4,14.55555556
1984,5,18.16666667
1984,6,24.83333333
1984,7,24.77777778
1984,8,24.66666667
1984,9,20.38888889
1984,10,18.33333333
1984,11,8.277777778
1984,12,9.5
1985,1,-1.333333333
1985,2,2.777777778
1985,3,11.33333333
1985,4,16.22222222
1985,5,19.94444444
1985,6,23.77777778
1985,7,25.66666667
1985,8,24.72222222
1985,9,21.27777778
1985,10,17.66666667
1985,11,13.27777778
1985,12,1.777777778
1986,1,3.277777778
1986,2,7.5
1986,3,9.888888889
1986,4,15.55555556
1986,5,20.05555556
1986,6,24.94444444
1986,7,27.88888889
1986,8,24.55555556
1986,9,23.88888889
1986,10,16.05555556
1986,11,9.611111111
1986,12,4.333333333
1987,1,2.388888889
1987,2,6.166666667
1987,3,11
1987,4,13.44444444
1987,5,22.22222222
1987,6,24.61111111
1987,7,25.94444444
1987,8,26.83333333
1987,9,21.61111111
1987,10,11.5
1987,11,10.44444444
1987,12,6.055555556
1988,1,0.777777778
1988,2,3.5
1988,3,9.444444444
1988,4,14.61111111
1988,5,18.44444444
1988,6,23.66666667
1988,7,25.55555556
1988,8,26.44444444
1988,9,21.83333333
1988,10,12.44444444
1988,11,10.22222222
1988,12,4.833333333
1989,1,6.333333333
1989,2,3.222222222
1989,3,10.5
1989,4,14.38888889
1989,5,17.94444444
1989,6,23.11111111
1989,7,25.16666667
1989,8,24.72222222
1989,9,20.61111111
1989,10,15.16666667
1989,11,9.277777778
1989,12,-1.611111111
1990,1,6.555555556
1990,2,9.222222222
1990,3,10.83333333
1990,4,14.05555556
1990,5,18
1990,6,24.33333333
1990,7,25.44444444
1990,8,25.16666667
1990,9,23.16666667
1990,10,14.16666667
1990,11,11.33333333
1990,12,6.277777778
1991,1,3.222222222
1991,2,6.166666667
1991,3,10.83333333
1991,4,16.72222222
1991,5,21.61111111
1991,6,24.5
1991,7,26.44444444
1991,8,24.83333333
1991,9,22.16666667
1991,10,15.61111111
1991,11,7.666666667
1991,12,6.444444444
1992,1,3.777777778
1992,2,8.333333333
1992,3,9.944444444
1992,4,14.27777778
1992,5,18.66666667
1992,6,22.33333333
1992,7,25.88888889
1992,8,22.88888889
1992,9,20.77777778
1992,10,14.38888889
1992,11,9.111111111
1992,12,4.277777778
1993,1,4.833333333
1993,2,4.277777778
1993,3,8.277777778
1993,4,13.11111111
1993,5,19.05555556
1993,6,23.77777778
1993,7,27.55555556
1993,8,26.11111111
1993,9,20.61111111
1993,10,14.5
1993,11,7.777777778
1993,12,4.722222222
1994,1,0.722222222
1994,2,5.611111111
1994,3,9.388888889
1994,4,16.16666667
1994,5,17.22222222
1994,6,25
1994,7,25.22222222
1994,8,24.16666667
1994,9,20.16666667
1994,10,15.55555556
1994,11,11.88888889
1994,12,6.722222222
1995,1,3.444444444
1995,2,4.722222222
1995,3,11.61111111
1995,4,15.44444444
1995,5,20
1995,6,22.88888889
1995,7,25.44444444
1995,8,26.83333333
1995,9,21
1995,10,15.05555556
1995,11,6.388888889
1995,12,3.388888889
1996,1,2.611111111
1996,2,4.611111111
1996,3,6.944444444
1996,4,13.61111111
1996,5,21.11111111
1996,6,23.88888889
1996,7,24.83333333
1996,8,25
1996,9,20.55555556
1996,10,15.38888889
1996,11,7.722222222
1996,12,6.333333333
1997,1,2.666666667
1997,2,7.833333333
1997,3,11.94444444
1997,4,12.5
1997,5,16.94444444
1997,6,22
1997,7,25.77777778
1997,8,24.27777778
1997,9,21.61111111
1997,10,14.77777778
1997,11,6.888888889
1997,12,4.444444444
1998,1,6.333333333
1998,2,7.111111111
1998,3,9.833333333
1998,4,14.38888889
1998,5,21.33333333
1998,6,25.55555556
1998,7,26.55555556
1998,8,25.5
1998,9,24.11111111
1998,10,17.27777778
1998,11,10.61111111
1998,12,5.944444444
1999,1,5.444444444
1999,2,7.777777778
1999,3,7.5
1999,4,17.16666667
1999,5,19.27777778
